,,,,"Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Yearly,January,February,March,April,May,June,July,August,September,October,November,December
JOR,Jordan,,MENA,5.32,4.34,4.90,5.54,5.60,5.70,5.89,5.86,5.91,5.89,5.27,4.64,4.24
JPN,Japan,,Other,3.45,2.84,3.42,3.94,4.14,4.08,3.58,3.58,3.78,3.53,3.29,2.72,2.45
KAZ,Kazakhstan,,ECA,3.69,1.52,2.60,3.86,4.76,5.15,5.14,5.01,5.00,4.58,3.39,1.92,1.24
KEN,Kenya,,AFR,4.50,4.94,5.13,4.93,4.46,4.22,3.90,3.85,4.20,4.79,4.61,4.38,4.68
KGZ,Kyrgyz Republic,,ECA,4.11,2.51,3.21,4.08,4.60,4.88,5.10,5.22,5.36,5.20,4.08,2.94,2.16
KHM,Cambodia,,EAP,4.13,4.48,4.74,4.56,4.42,4.08,3.68,3.54,3.70,3.63,4.02,4.25,4.44
KIR,Kiribati,,EAP,4.82,4.73,4.97,4.93,4.72,4.59,4.41,4.51,4.93,5.16,5.25,5.03,4.67
KNA,Saint Kitts and Nevis,,LCR,4.65,4.49,4.81,5.13,4.91,4.62,4.53,4.56,4.86,4.80,4.56,4.34,4.17
KOR,Republic of Korea,,EAP,3.82,3.70,4.05,4.27,4.28,4.37,3.80,3.29,3.65,3.78,4.02,3.33,3.27
KWT,Kuwait,,MENA,4.82,4.26,4.63,5.14,4.72,4.85,5.20,5.14,5.24,5.39,4.94,4.17,4.11
LAO,Lao People's Democratic Republic,,EAP,3.87,4.38,4.67,4.27,4.25,3.85,3.22,2.93,3.04,3.49,3.92,4.27,4.23
LBN,Lebanon,,MENA,4.83,3.13,3.74,4.79,5.22,5.67,5.98,5.97,5.88,5.64,4.74,3.98,3.19
LBR,Liberia,,AFR,3.88,4.33,4.41,4.19,4.04,3.78,3.31,3.15,3.29,3.75,4.05,4.12,4.22
LBY,Libya,,MENA,5.12,4.61,5.08,5.44,5.39,5.26,5.34,5.56,5.56,5.30,4.94,4.67,4.34
LCA,Saint Lucia,,LCR,4.52,4.46,4.82,4.91,4.69,4.53,4.22,4.39,4.61,4.72,4.47,4.20,4.27
LIE,Liechtenstein,,Other,3.25,1.83,2.65,3.63,4.10,4.15,4.29,4.33,4.11,3.61,2.94,1.83,1.47
LKA,Sri Lanka,,SOA,4.21,4.01,4.60,4.98,4.58,4.18,4.03,4.09,4.26,4.43,4.19,3.66,3.57
LSO,Lesotho,,AFR,5.13,4.98,5.04,5.01,5.02,4.88,4.87,5.09,5.40,5.61,5.38,5.26,5.08
LTU,Lithuania,,ECA,2.87,0.95,1.80,3.16,4.08,4.68,4.55,4.41,4.05,3.20,2.03,0.88,0.61
LUX,Luxembourg,,Other,2.95,1.24,2.05,3.18,4.01,4.15,4.40,4.31,3.99,3.42,2.35,1.24,1.00
LVA,Latvia,,ECA,2.85,0.90,1.87,3.20,4.13,4.73,4.59,4.48,4.00,3.06,1.91,0.79,0.54
MAC,"Macau, SAR",,EAP,3.40,2.99,2.69,2.69,2.95,3.67,3.65,4.20,3.95,3.94,3.77,3.25,3.05
MAR,Morocco,,MENA,5.01,4.55,5.04,5.34,5.49,5.31,5.30,5.17,5.11,5.14,4.78,4.52,4.34
MDA,Moldova,,ECA,3.45,1.64,2.48,3.52,4.20,4.82,4.86,4.89,4.76,3.92,3.09,1.75,1.40
MDG,Madagascar,,AFR,4.76,4.38,4.59,4.78,4.86,4.59,4.45,4.49,4.92,5.31,5.20,4.88,4.64
MDV,Maldives,,SOA,4.44,4.72,5.08,5.21,4.69,4.08,3.95,3.94,4.19,4.39,4.50,4.26,4.31
MEX,Mexico,,LCR,4.92,4.72,5.18,5.56,5.46,5.18,4.76,4.59,4.79,4.63,4.89,4.80,4.55
MHL,Marshall Islands,,EAP,4.24,4.29,4.57,4.56,4.42,4.21,4.06,3.97,4.29,4.27,4.21,3.92,4.11
MKD,North Macedonia,,ECA,3.88,2.46,3.22,3.93,4.22,4.62,5.08,5.25,5.08,4.27,3.60,2.66,2.14
MLI,Mali,,AFR,4.68,4.94,5.10,4.94,4.75,4.44,4.19,4.19,4.26,4.68,4.82,4.97,4.87
MLT,Malta,,MENA,4.56,3.14,3.89,4.67,5.16,5.63,5.76,5.92,5.63,4.82,3.96,3.22,2.91
MMR,Myanmar,,EAP,4.14,5.07,5.34,4.96,4.62,3.73,3.13,2.94,3.09,3.60,3.98,4.63,4.69
MNE,Montenegro,,ECA,3.82,2.58,3.09,3.91,4.10,4.52,4.93,5.15,4.98,4.11,3.55,2.59,2.25
MNG,Mongolia,,EAP,4.76,3.91,5.12,5.71,5.55,5.39,4.91,4.74,4.85,5.12,4.67,3.74,3.41
MNP,Northern Mariana Islands (U.S.),,Other,4.65,4.39,4.87,5.14,5.34,5.06,4.88,4.34,4.05,4.18,4.33,4.73,4.57
MOZ,Mozambique,,AFR,4.44,4.17,4.30,4.46,4.46,4.43,4.16,4.10,4.58,4.91,4.80,4.56,4.28
MRT,Mauritania,,AFR,4.75,4.87,5.06,5.19,5.14,4.76,4.43,4.35,4.47,4.71,4.73,4.71,4.59
MUS,Mauritius,,AFR,4.21,4.43,4.37,4.42,4.22,3.78,3.57,3.52,3.90,4.43,4.68,4.68,4.59
MWI,Malawi,,AFR,4.60,3.88,4.11,4.41,4.57,4.73,4.56,4.51,4.98,5.35,5.21,4.75,4.14
MYS,Malaysia,,EAP,3.74,3.39,3.91,4.12,4.11,3.82,3.68,3.67,3.82,3.86,3.71,3.51,3.30
NAM,Namibia,,AFR,5.38,5.06,5.12,5.19,5.33,5.46,5.40,5.50,5.71,5.73,5.57,5.32,5.16
NCL,New Caledonia (Fr.),,Other,3.98,4.13,4.08,3.82,3.76,3.57,3.33,3.55,3.96,4.52,4.48,4.35,4.18
NER,Niger,,AFR,4.84,5.25,5.26,4.99,4.74,4.51,4.29,4.35,4.43,4.85,4.97,5.22,5.20
NGA,Nigeria,,AFR,4.30,4.71,4.67,4.43,4.25,4.09,3.85,3.64,3.56,4.13,4.53,4.91,4.85
NIC,Nicaragua,,LCR,4.11,4.11,4.49,4.84,4.56,4.07,3.69,3.61,3.97,4.14,4.01,3.95,3.89
NLD,Netherlands,,Other,2.86,1.24,1.99,2.97,3.94,4.24,4.21,4.16,3.82,3.15,2.30,1.33,0.98
NOR,Norway,up to parallel 60°N,Other,2.76,0.75,1.77,3.20,4.17,4.75,4.58,4.20,3.63,2.77,1.85,0.92,0.50
NPL,Nepal,,SOA,4.00,3.42,4.22,4.88,4.71,4.33,3.78,3.33,3.54,3.82,4.37,4.00,3.58
NRU,Nauru,,EAP,4.65,4.28,4.55,4.74,4.67,4.74,4.54,4.50,4.89,4.96,5.03,4.65,4.27
NZL,New Zealand,,Other,3.68,4.52,4.35,4.04,3.38,2.84,2.52,2.76,3.19,3.67,4.14,4.39,4.36
OMN,Oman,,MENA,5.17,5.34,5.64,5.64,5.45,5.15,4.64,4.28,4.66,5.27,5.53,5.29,5.16
PAK,Pakistan,,SOA,4.71,4.24,4.67,5.12,5.17,5.03,4.69,4.25,4.48,5.01,5.08,4.51,4.31
PAN,Panama,,LCR,3.97,4.56,4.83,4.74,4.21,3.69,3.49,3.47,3.67,3.78,3.70,3.54,3.94
PER,Peru,,LCR,4.90,4.41,4.35,4.64,4.91,5.11,4.99,5.06,5.31,5.27,5.16,5.06,4.54
PHL,Philippines,,EAP,3.93,3.50,4.10,4.49,4.65,4.24,3.84,3.61,3.76,3.80,3.88,3.79,3.57
PLW,Palau,,EAP,4.01,4.06,4.25,4.56,4.43,3.97,3.58,3.49,3.75,3.79,4.16,4.01,4.02
PNG,Papua New Guinea,,EAP,3.69,3.76,3.90,3.86,3.77,3.55,3.23,3.17,3.49,3.70,4.00,3.99,3.90
POL,Poland,,ECA,2.98,1.24,1.99,3.14,4.07,4.52,4.43,4.29,4.16,3.35,2.37,1.26,0.96
PRI,Puerto Rico (U.S.),,Other,4.40,4.32,4.66,4.76,4.55,4.30,4.28,4.36,4.44,4.49,4.38,4.11,4.12
