,,,,Basic indicators,,,,,,PV potential indicators,,,,,Power sector indicators,,,,,
ISO_A3,Country or region,Note,"World Bank 
Region","Total population, 2018","Total area, 2018",Evaluated area,"Level 1 area 
(% of evaluated area)","Human development 
Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity
(% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity 
Tariffs for SMEs 
(US cent/kWh), 2019"
DOM,Dominican Republic,,LCR,"10,627,165","48,310","48,310",61%,0.74,"7,650",5.42,4.57,0.09,1.19,0.17,166.3,15.6,100.0,1616,4,20.4
DZA,Algeria,,MENA,"42,228,429","2,381,740","2,381,740",23%,0.75,"4,279",5.92,4.92,0.09,1.35,0.013,410,9.7,99.0,1363,5,2.2
ECU,Ecuador,,LCR,"17,084,357","248,360","248,360",35%,0.75,"6,345",4.30,3.40,0.13,1.37,0.05,25.6,1.5,99.8,1376,7,11.7
EGY,Arab Republic of Egypt,,MENA,"98,423,595","995,450","995,450",24%,0.70,"2,549",6.26,5.25,0.08,1.31,0.081,750,7.6,100.0,1683,3,8
ERI,Eritrea,,AFR,"4,475,000","101,000","101,000",72%,0.44,#N/A,6.07,4.89,0.09,1.43,#N/A,2.7,0.6,39.3,#N/A,#N/A,#N/A
ESP,Spain,,Other,"46,723,749","499,564","499,564",85%,0.89,"30,524",4.58,4.41,0.08,1.93,0.352,4743.7,101.5,100.0,5356,8,24.8
EST,Estonia,,ECA,"1,320,884","43,470","43,470",63%,0.87,"22,928",2.72,2.84,0.13,11.19,0.691,11,8.3,100.0,6732,8,8.5
ETH,Ethiopia,,AFR,"109,224,559","1,000,000","1,000,000",83%,0.46,772,5.85,4.70,0.09,1.58,0.003,11,0.1,26.5,69,0,3.9
FJI,Fiji,,EAP,"883,483","18,270","18,270",27%,0.74,"6,202",4.32,3.82,0.11,1.17,#N/A,9.5,10.8,98.0,#N/A,4,20.3
FRA,France,,Other,"66,987,244","547,557","547,557",81%,0.90,"41,464",3.48,3.39,0.10,2.97,1.054,9483.4,141.6,100.0,6940,8,13
FSM,Federated States of Micronesia,,EAP,"112,640",700,700,23%,0.63,"3,058",4.75,3.89,0.11,1.22,#N/A,1.8,16.0,70.7,#N/A,0,37.8
GAB,Gabon,,AFR,"2,119,275","257,670","257,670",44%,0.70,"8,030",4.54,3.60,0.12,1.39,0.005,1.4,0.7,55.0,1168,3,18.9
GBR,United Kingdom,,Other,"66,488,991","241,930","241,930",85%,0.92,"42,491",2.59,2.61,0.15,5.13,2.452,13108,197.1,100.0,5130,8,17.2
GEO,Georgia,,ECA,"3,731,000","69,490","69,490",47%,0.78,"4,345",3.72,3.71,0.12,2.24,0.142,0,0.0,100.0,2694,5,6.5
GHA,Ghana,,AFR,"29,767,108","227,540","227,540",96%,0.59,"2,202",5.10,4.02,0.11,1.39,0.022,63.6,2.1,66.6,351,4,22.2
GIN,Guinea,,AFR,"12,414,318","245,720","245,720",95%,0.46,885,5.57,4.44,0.10,1.38,#N/A,13.4,1.1,6.9,#N/A,0,19.6
GMB,The Gambia,,AFR,"2,280,102","10,120","10,120",97%,0.46,712,5.75,4.57,0.09,1.34,#N/A,2.2,1.0,15.5,#N/A,0,20
