,,,,"Theoretical potential (GHI, kWh/m2/day), long-term",,,,,,,,"Practical potential  (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum
MNE,Montenegro,,ECA,3.13,3.60,3.67,3.86,3.84,4.07,4.17,4.32,3.36,3.54,3.62,3.82,3.88,3.99,4.04,4.12
MNG,Mongolia,,EAP,3.40,3.88,4.07,4.32,4.31,4.63,4.73,4.87,3.72,4.34,4.55,4.76,4.80,5.02,5.14,5.23
MNP,Northern Mariana Islands (U.S.),,Other,4.59,5.25,5.45,5.56,5.66,5.74,5.78,5.85,4.39,4.55,4.62,4.65,4.67,4.71,4.73,4.78
MOZ,Mozambique,,AFR,4.77,5.16,5.31,5.38,5.39,5.48,5.58,5.87,4.16,4.31,4.37,4.44,4.43,4.50,4.56,4.78
MRT,Mauritania,,AFR,5.85,5.92,5.97,6.04,6.06,6.10,6.13,6.19,4.58,4.63,4.66,4.75,4.70,4.80,4.94,5.29
MUS,Mauritius,,AFR,4.35,4.54,4.71,5.01,5.02,5.27,5.51,5.75,3.66,3.79,3.96,4.21,4.25,4.44,4.60,4.78
MWI,Malawi,,AFR,4.88,5.34,5.48,5.59,5.62,5.73,5.84,6.04,4.15,4.41,4.51,4.60,4.62,4.69,4.77,4.95
MYS,Malaysia,,EAP,4.05,4.44,4.56,4.71,4.71,4.86,4.99,5.20,3.40,3.55,3.62,3.74,3.73,3.85,3.95,4.11
NAM,Namibia,,AFR,5.88,6.17,6.27,6.40,6.43,6.54,6.63,6.71,5.02,5.12,5.26,5.38,5.40,5.51,5.58,5.74
NCL,New Caledonia (Fr.),,Other,3.63,4.11,4.34,4.57,4.60,4.81,5.04,5.33,3.33,3.61,3.81,3.98,3.98,4.17,4.33,4.49
NER,Niger,,AFR,5.81,6.04,6.17,6.26,6.28,6.38,6.46,6.58,4.52,4.68,4.74,4.84,4.81,4.92,5.07,5.32
NGA,Nigeria,,AFR,4.29,4.66,5.08,5.44,5.54,5.90,5.98,6.06,3.40,3.69,4.01,4.30,4.38,4.67,4.72,4.79
NIC,Nicaragua,,LCR,4.43,4.68,4.80,5.04,4.92,5.20,5.70,6.03,3.57,3.78,3.88,4.11,4.00,4.33,4.62,4.87
NLD,Netherlands,,Other,2.75,2.78,2.81,2.86,2.87,2.90,2.96,3.04,2.74,2.78,2.81,2.86,2.86,2.90,2.97,3.07
NOR,Norway,up to parallel 60°N,Other,2.11,2.40,2.54,2.58,2.61,2.66,2.71,2.80,2.17,2.52,2.67,2.76,2.80,2.88,2.94,3.06
NPL,Nepal,,SOA,3.30,4.00,4.33,4.53,4.57,4.77,4.96,5.73,3.50,3.73,3.82,4.00,3.91,4.08,4.28,5.66
NRU,Nauru,,EAP,5.87,5.87,5.88,5.88,5.88,5.88,5.89,5.89,4.64,4.64,4.65,4.65,4.65,4.65,4.66,4.66
