Report generated on: 02-25-2022 09:56:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-3-BGR-BKWH.A","        Bulgaria","4.698","4.497","4.441","4.582","4.637","7.451","5.427","5.326","5.226","5.434","5.436","3.083","3.15","1.65","1.2","2","1.803","0.8","0.565","1.7","0.964","0.83","2.04","1.283","0.741","0.799","1.139","3.058","3.097","2.662","1.167","1.449","2.353","3.351","4.319","4.25","4.568","3.706","2.223","3.045","3.707"
"INTL.2-3-BFA-BKWH.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.066","0.11","0.069","0.096","0.125","0.139","0.124","0.135716","0.1446","0.385","0.495","0.515","0.532","0.488","0.443","0.63","0.645","0.66","0.6","NA"
"INTL.2-3-MMR-BKWH.A","        Burma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-BDI-BKWH.A","        Burundi","0.039","0.041","0.037","0.036","0.035","0.042","0.026","0.012","0.012","0.013","0.016","0.023","0.023","0.035","0.043","0.029","0.035","0.035","0.029","0.035","0.03","0.035","0.035","0.052","0.063","0.071","0.075","0.077","0.076","0.092","0.095","0.099","0.099","0.103","0.091","0.096","0.1","0.1","0.1","0.1","NA"
"INTL.2-3-CPV-BKWH.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-KHM-BKWH.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.007","0.013","0.018","0.029","0.054","0.103","0.276","0.725","1.547","1.826","2.105","2.279","1.803","1.547","1.582","1.442","1.57","3.063","NA"
"INTL.2-3-CMR-BKWH.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.125","0.754","0.729","0.018","0.016","0.018","0.019","0.019","NA"
"INTL.2-3-CAN-BKWH.A","        Canada","4.3996186319204","3.2780112649243","7.458289863045","3.6414341056035","1.2521733758947","1.4277487915998","3.6971381903313","2.493064814645","3.9326890233551","12.363367031074","15.543","1.688","1.836","2.692","0.941","2.468","1.936","7.47","11.683276","12.953","12.685","16.105612","15.231079","23.584513","22.482109","19.676695","23.623767","19.380104","23.864071","18.163423","18.686212","14.961599","10.88722","11.370751","12.120716","10.770966","9.302534","9.893296","13.194693","13.334136","9.8"
"INTL.2-3-CYM-BKWH.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-CAF-BKWH.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-TCD-BKWH.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-CHL-BKWH.A","        Chile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.12","1.19","1.351","1.8","1.7","1.903","2.152","2.285","1.62766","1.154","1.348","0.958","0.732","0","0","0","0","0","0","0","0","0"
"INTL.2-3-CHN-BKWH.A","        China","0.308","0.237","0.33","0.43","0.8","1.11","1.21","1.3","1.51","1.55","1.93","3.11","4.98","4.5","1.63","0.755","0.124","0.089","0.1","0.366","1.546","1.8","2.3","2.975","3.4","5.011","5.389","4.251","3.842","6.006","5.545","6.562","6.874","7.438","6.75","6.21","6.185","6.423","5.688","4.858","NA"
"INTL.2-3-COL-BKWH.A","        Colombia","0.044","0.086","0.038","0.039","0.03","0.005","0.005","0","0","0.226","0.225","0.2","0.34","0.302","0.3","0.32","0.164","0.1","0.085","0.04","0.1","0.04","0.008","0.075","0.048","0.016","0.021","0.0394","0.077","0.021","0.01","0.008","0.0065","0.029","0.047","0.045","0.378","0.078","0.122","0.312","1.302"
"INTL.2-3-COM-BKWH.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-COG-BKWH.A","        Congo-Brazzaville","0.007","0.019","0.026","0.057","0.08","0.084","0.129","0.148","0.149","0.061","0.014","0.075","0.108","0.11","0.112","0.115","0.12","0.12","0.126","0.2","0.26","0.25","0.4","0.359","0.404","0.418","0.411","0.449","0.436","0.44","0.281","0.027","0.025","0.056","0.018","0.013","0.021","0.022","0.028","0.023","NA"
"INTL.2-3-COD-BKWH.A","        Congo-Kinshasa","0.01","0.014","0.011","0.009","0.007","0.007","0.003","0.003","0.003","0.005","0.005","0.002","0.002","0.053","0.055","0.058","0.3","0.3","0.055","0.045","0.053","0.012","0.02","0.003","0.001","0.071","0.014","0.076","0.083","0.105","0.161","0.044","0.626","0.63","1.138","0.02","0.02","0.668","0.163","0.385","NA"
"INTL.2-3-COK-BKWH.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-CRI-BKWH.A","        Costa Rica","0","0","0","0.003","0.002","0.001","0.177","0.28","0.28","0.241","0.289","0.194","0.05","0.1","0","0.02","0.24","0.115","0.077","0.001","0.022","0.13","0.035","0.1","0.202","0.081","0.14889","0.20322","0.096","0.151","0.164","0.283","0.419","0.531","0.759","0.537","0.807","0.551","0.572172","0.733","NA"
"INTL.2-3-HRV-BKWH.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","3.532","3.58","4.6","4.4","3.371","4.608","5.2","3","4.386","3.744","3.927","4.499","5.339","8.802","8.374","7.926","12.254","11.892","12.415","13.985","13.174","11.26","10.898","13.158","12.398","12.158","12.693","11.401","10.491"
"INTL.2-3-CUB-BKWH.A","        Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-CYP-BKWH.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-CZE-BKWH.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","5.952","5.445","6.74","8.811","9.013","8.4","8.98","8.725","9.38","9.502","10.086","9.776","12.351","11.466","10.204","8.52","8.586","6.642","10.457","11.587","10.571","11.842","16.146","13.817","15.072","11.573","11.026212","13.368"
