Report generated on: 02-25-2022 09:56:35
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","electricity net consumption (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-2-VGB-BKWH.A","        British Virgin Islands","0.02046","0.02232","0.02325","0.02232","0.02511","0.02697","0.03069","0.03441","0.0372","0.03813","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.0372","0.0354285714285713","0.03534","0.03906","0.03906","0.08649","0.093","0.09672","0.10788","0.1395","0.17215323","0.16866573","0.17331573","0.17331573","0.17368373","0.18369894","0.18550894","0.121208","0.114858","0.116298","NA"
"INTL.2-2-BRN-BKWH.A","        Brunei","0.424","0.459","0.51","0.653","0.749","0.819","0.867","0.892","0.998","1.038","1.11","1.178","1.237","1.39","1.515","1.779","1.953","2.234","2.324","2.26","2.36142","2.11726","2.19894","2.60754","2.94616","2.89416","2.92412","3.0263","3.05362","3.17728","3.19648","3.23262","3.45132","3.729","3.94676","3.67912","3.77086","3.4267","3.55548","4.14014","NA"
"INTL.2-2-BGR-BKWH.A","        Bulgaria","33.232","34.575","36.871","38.5","40.173","39.663","39.141","40.877","41.992","42.68","38.786","33.505","29.857","30.235","30.2755","33.218","34.733","30.066","30.012","27.362","27.4082","27.33136","28.27948","28.01322","27.82862","28.7814","30.03836","31.084732","31.71058","30.04748","30.18372","31.67922","31.1431","30.38922","30.8595","31.90337","32.24355","33.5777","33.273746","31.90517","NA"
"INTL.2-2-BFA-BKWH.A","        Burkina Faso","0.09114","0.10044","0.10695","0.10881","0.10509","0.10695","0.11346","0.12369","0.13299","0.14229","0.16182","0.16926","0.1767","0.19065","0.19158","0.21576","0.24459","0.26226","0.29016","0.32364","0.29574","0.37011","0.4493756","0.48253566","0.53517762","0.58020524","0.62215825","0.6648136","0.68351669","0.76250688","0.98129","1.15082","1.34113","1.4684965","1.5586895","1.827849","1.9339","2.06002","2.0774","2.07852","NA"
"INTL.2-2-MMR-BKWH.A","        Burma","1.11","1.022","1.102","1.139","1.246","1.514","1.538","1.571","1.417","1.546","1.734","1.614","1.771","2.055","2.207","2.349","2.407","2.719","2.759","2.919","3.30344","3.03898","3.61858","4.029","3.92994","3.45486","4.15366","4.2382","4.50894","4.83952","6.09532","7.6596","7.76864","9.32216","10.85332","12.91874","12.53062","17.43426","19.7906","20.47438","NA"
"INTL.2-2-BDI-BKWH.A","        Burundi","0.04179","0.04472","0.04072","0.05925","0.07313","0.08571","0.08366","0.10035","0.10872","0.10879","0.11737","0.12716","0.12158","0.1373","0.15088","0.13967","0.14474","0.14753","0.13223","0.12707","0.123","0.14288","0.15404","0.14686","0.14856","0.16121","0.16242","0.18674","0.18109","0.20546","0.233477","0.23571","0.2385","0.26482","0.26491","0.2634","0.27112","0.35947","0.35090284","0.440774","NA"
"INTL.2-2-CPV-BKWH.A","        Cabo Verde","0.01395","0.01395","0.01953","0.02046","0.02418","0.02511","0.02604","0.02883","0.03069","0.03069","0.03627","0.0465","0.05301","0.06138","0.06975","0.07254","0.07719","0.08184","0.08928","0.1023","0.12834","0.14415","0.15903","0.17391","0.19158","0.20646","0.21948","0.23529","0.2511","0.26133","0.30225","0.32178","0.33387","0.35805","0.37944","0.37293","0.39339","0.427104","0.42691262","0.43685362","NA"
"INTL.2-2-KHM-BKWH.A","        Cambodia","0.08928","0.09579","0.09951","0.09393","0.08928","0.09858","0.10695","0.11625","0.12555","0.13299","0.14229","0.14694","0.15438","0.15996","0.16647","0.206","0.238","0.25","0.275","0.284","0.38218","0.38652","0.59712","0.64116","0.61662","0.8317","1.02134","1.29056","1.50598","1.73142","2.2046","2.5302","3.21866","3.50342","4.0579","4.97294","6.0385","6.82882","8.40457","10.28834","NA"
"INTL.2-2-CMR-BKWH.A","        Cameroon","1.325","1.737","2.009","1.952","1.972","2.193","2.044","2.082","2.253","2.364","2.323","2.334","2.318","2.324","2.231","2.203","2.341","2.483","2.505","2.645","2.68272","2.59298","2.49792","2.76264","3.2696","3.25408","4.40374","4.6358","5.01868","5.10124","5.1826","4.70125","4.8986","5.09993","5.34883","6.08155","5.28157","6.0988","6.53483","6.54984","NA"
"INTL.2-2-CAN-BKWH.A","        Canada","309.4796186319204","319.0600112649243","319.166289863045","331.6464341056035","356.7081733758947","372.3747487915998","389.3921381903313","405.238064814645","422.2426890233551","434.632367031074","433.827893","439.87071","444.724821","455.060803","459.642142","466.698881","473.652624","482.487399","479.436168","490.033692","505.225524","505.604054","513.18464","528.233048","534.064122","560.37862","550.193991","560.760367","559.070389","537.043882","534.218016","551.989851","542.857979","563.538324","559.837676","544.229302","549.710493","547.886195","554.930418","552.792179","539.815"
"INTL.2-2-CYM-BKWH.A","        Cayman Islands","0.05394","0.06138","0.07254","0.08277","0.09672","0.10881","0.11997","0.14043","0.15531","0.17019","0.19716","0.2046","0.20553","0.22041","0.24924","0.25947","0.26133","0.26226","0.26412","0.2883","0.3702237","0.3949803","0.416733","0.43059","0.4516359","0.36642","0.45198","0.50778","0.529","0.5484","0.5405","0.541","0.548","0.556","0.568","0.586","0.614","0.628289","0.618165","0.655165","NA"
"INTL.2-2-CAF-BKWH.A","        Central African Republic","0.06231","0.06138","0.0651","0.06324","0.06696","0.07161","0.08649","0.08463","0.08556","0.08556","0.08649","0.08556","0.08742","0.08835","0.09207","0.093","0.09486","0.09672","0.09486","0.09579","0.09765","0.09858","0.09858","0.09951","0.13857","0.14787","0.15438","0.1488","0.1488","0.14787","0.147963","0.159309","0.162192","0.128712","0.157542","0.157542","0.158472","0.140802","0.14043","0.14044","NA"
"INTL.2-2-TCD-BKWH.A","        Chad","0.04092","0.04464","0.04557","0.04464","0.04557","0.04743","0.06045","0.07347","0.07068","0.07161","0.07905","0.07626","0.07347","0.07533","0.0744","0.07812","0.07905","0.07905","0.07998","0.07998","0.07998","0.08742","0.09393","0.10044","0.10695","0.11253","0.11346","0.11253","0.13113","0.15996","0.17484","0.17647","0.20739","0.238113","0.254093","0.257899","0.18866","0.20036","0.18664","0.18846","NA"
"INTL.2-2-CHL-BKWH.A","        Chile","10.41","10.75","10.551","10.771","11.62","12.076","12.926","13.257","14.277","15.501","18.341","18.224","19.224","19.666","21.258","25.635","28.059","30.687","31.643","34.86","38.14374","39.37382","41.3827","44.06254","47.22554","48.37876","50.92482","53.01022","53.5916","53.45744","54.07544","59.30442","63.4112","65.14154","63.40622","68.6281","73.21866","72.0326","75.584284","76.58826","75.497"
"INTL.2-2-CHN-BKWH.A","        China","261.492","268.754","285.858","307.606","330.13","351.318","385.299","425.192","466.479","498.708","549.342","597.204","666.142","738.807","818.535","876.577","920.966","983.495","1017.457","1076.767","1178.033","1314.783","1459.429","1676.829","1955.39","2196.172","2523.947","2891.542","3070.881","3290.14","3713.68162","4178.89156","4435.14858","4845.35502","5069.99456","5250.58386","5565.16154","5953.57732","6452.118661","6875.08864","NA"
"INTL.2-2-COL-BKWH.A","        Colombia","16.385","16.697","22.257","22.931","25.177","25.439","28.302","23.559","25.427","27.079","28.171","28.782","26.624","29.652","32.026","33.461","34.127","34.837","34.123","32.625","32.5857","33.87712","34.72602","35.41568","37.43962","37.78608","40.48912","42.21151","42.76446","46.3906","48.10898","50.95378","52.67862","65.53038","62.63444","68.8622","68.06908","72.1846","70.1992","69.85668","NA"
"INTL.2-2-COM-BKWH.A","        Comoros","0.00837","0.0093","0.0093","0.01023","0.01116","0.01302","0.01302","0.01302","0.01302","0.01488","0.01395","0.01395","0.01395","0.01395","0.01395","0.01395","0.01488","0.01488","0.01581","0.01581","0.01767","0.02604","0.02883","0.03069","0.03906","0.04185","0.04464","0.04092","0.03999","0.03813","0.04185","0.05487","0.05394","0.05115","0.04743","0.04836","0.05301","0.080352","0.919312","0.096248","NA"
"INTL.2-2-COG-BKWH.A","        Congo-Brazzaville","0.144","0.156","0.2","0.192","0.294","0.228","0.369","0.387","0.372","0.386","0.405","0.462","0.44","0.355","0.351","0.355","0.449","0.447","0.324","0.361","0.29394","0.287","0.414","0.38458","0.36298","0.41632","0.46214","0.47868","0.566","0.58446","0.5747","0.61098","0.91532","0.87802","0.85202","1.40474","1.4695","1.52334","1.72561","2.06558","NA"
"INTL.2-2-COD-BKWH.A","        Congo-Kinshasa","3.921","3.614","3.561","3.864","4.057","4.366","4.559","4.534","4.672","4.829","4.42","4.384","4.207","3.926","4.031","4.479","4.676","4.386","4.141","4.357","4.53882","4.5667","4.41352","4.57658","4.60852","4.82758","5.6778","6.06784","6.03624","6.5889","6.67384","7.12772","7.68356","8.28946","7.93634","7.19828","7.43028","8.58264","8.60932","7.2057","NA"
"INTL.2-2-COK-BKWH.A","        Cook Islands","0.0093","0.01023","0.0093","0.00837","0.0093","0.01023","0.01116","0.01209","0.01209","0.01302","0.01395","0.01395","0.014043","0.014043","0.014043","0.017763","0.017763","0.017763","0.017763","0.019623","0.022413","0.022413","0.024273","0.025203","0.0252309","0.0252309","0.0280209","0.0289509","0.0298809","0.0289509","0.0298809","0.0298809","0.027993","0.027714","0.02645571","0.02647896","0.03039147","0.03434676","0.03880797","0.038729","NA"
"INTL.2-2-CRI-BKWH.A","        Costa Rica","1.879","2.133","2.05","2.201","2.362","2.547","2.738","3.099","3.039","3.177","3.305","3.553","4.204","4.529","4.771","4.28","4.494","5.029","4.84","5.517","5.90046","6.129","6.26068","6.58258","6.84404","7.27274","7.80891","8.18535","8.31738","8.24294","8.53154","8.61222","8.9872","9.05824","9.18542","9.45752","9.80942","9.93278","10.063571","10.072472","NA"
"INTL.2-2-HRV-BKWH.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","9.991","9.858","10.092","10.448","10.11","11.507","12.963","12.179","12.18404","12.34516","12.74052","12.83796","13.5151","14.23518","14.97544","15.45288","16.00566","15.21908","16.27512","16.1057","15.70014","15.45968","15.27506","15.86632","15.92594","16.55492","16.771772","16.79068","NA"
"INTL.2-2-CUB-BKWH.A","        Cuba","9.493","9.973","10.316","10.443","11.06","10.891","11.754","12.036","12.767","13.245","12.316","10.361","10.341","9.278","9.245","9.437","10.1","10.747","10.751","11.3231","11.82116","12.06946","12.39386","12.50338","12.337404","12.11786","12.86246","13.627066","13.84938","13.95412","13.61962","13.94078","14.46036","15.09758","15.28872","15.98378","16.16112","16.19368","16.34166","16.09746","NA"
"INTL.2-2-CYP-BKWH.A","        Cyprus","0.904","0.923","0.99","1.076","1.1","1.164","1.249","1.331","1.461","1.627","1.746","1.818","2.102","2.296","2.395","2.21","2.2875","2.375","2.601","2.755","2.98","3.105","3.391","3.65","3.735","3.95","4.152","4.364","4.622","4.667","4.78806","4.48494","4.3124","3.86922","3.93202","4.0709","4.35722","4.50186","4.626833","4.733","NA"
"INTL.2-2-CZE-BKWH.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","48.63235","50.37085","53.14985","55.006","54.89039","53.983","52.193","53.638","55.48092","55.41756","56.7634","58.1821","59.30822","61.0812","61.48862","62.17362","58.80644","61.04","60.40336","60.47346","60.1725","60.19548","61.3373","62.34842","63.6273","63.891817","61.87265","60.891"
"INTL.2-2-CIV-BKWH.A","        Côte d’Ivoire","1.433","1.573","1.607","1.683","1.319","1.68","1.719","2.021","1.863","2.092","1.857","1.463","1.293","1.758","2.014","2.519","2.279","2.459","2.724","2.629","2.66284","2.8679","2.8131","2.8557","2.8844","2.89188","3.15122","3.34606","3.59016","3.7815","4.14432","3.86934","4.73334","4.77744","5.82782","5.67276","5.74371","6.76041","6.69022","5.98932","NA"
"INTL.2-2-DNK-BKWH.A","        Denmark","21.97","22.209","22.633","22.804","22.517","23.918","26.767","27.786","27.751","28.36","28.868","29.92","30.492","30.788","31.391","31.453","31.911","32.452","32.28073","32.573","32.78184","32.88744","33.20028","33.3268","33.92788","34.55092","34.97284","34.72604","34.356","32.82","33.56184","33.1318","32.85696","32.8264","32.25744","32.53288","33.03236","33.401693","32.97458","33.34484","33.081"
"INTL.2-2-DJI-BKWH.A","        Djibouti","0.1023","0.10695","0.11439","0.12927","0.12741","0.14322","0.1488","0.14973","0.15252","0.15345","0.15624","0.15717","0.15717","0.15903","0.15903","0.16089","0.16182","0.16368","0.16368","0.16368","0.1674","0.16647","0.17484","0.17484","0.18786","0.2232","0.24459","0.28272","0.29667","0.30504","0.33108","0.33852","0.341775","0.378975","0.087885","0.155907","0.077187","0.051793","-0.05948","-0.0626","NA"
"INTL.2-2-DMA-BKWH.A","        Dominica","0.01023","0.01116","0.01023","0.01674","0.02232","0.02232","0.02418","0.02511","0.02604","0.02697","0.02697","0.0279","0.0279","0.0279","0.03069","0.04092","0.03906","0.0465","0.05766","0.06603","0.06882","0.07254","0.06603","0.07068","0.07068","0.073656","0.075516","0.076539","0.077469","0.082677","0.088257","0.091047","0.090582","0.090582","0.09147201","0.09612201","0.10077201","0.07752201","0.058057","0.082078","NA"
"INTL.2-2-DOM-BKWH.A","        Dominican Republic","2.514","2.961","2.35","2.344","3.18","3.174","3.526","3.085","3.272","2.379","2.59","2.713","2.412","3.706","3.234","3.627","4.734","4.802","5.175","6.461","5.78666","8.49562","8.72988","9.19538","7.9525","10.5234","11.45994","11.99174","9.957","9.8715","12.06406","12.9394","13.66262","14.51036","14.12528","14.64108","15.283","15.57246","16.06696","16.33098","NA"
"INTL.2-2-ECU-BKWH.A","        Ecuador","2.7","3.01","3.16","3.338","3.218","3.752","4.069","4.176","4.271","4.322","4.784","5.163","5.404","5.51","6.027","6.077","6.921","6.852","7.368","7.639","7.81482","8.04726","8.26422","8.609717","10.448442","10.47188","12.17881","13.8345","15.10904","15.68504","16.358","17.81724","19.02034","20.0121","21.07576","22.19106","22.67082","23.68244","24.604748","25.55587","NA"
"INTL.2-2-EGY-BKWH.A","        Egypt","15.861","17.749","18.224","20.13405","25.29105","25.32905","29.8871","31.1541","29.7351","32.0611","37.2011","38.1351","38.7831","42.7351","45.1791","47.1512","47.7252","51.7532","55.4512","60.2692","63.55766","68.22234","72.80158","78.82444","83.19628","89.77856","96.58724","105.10492","110.3652","117.40596","122.69624","121.56234","123.30362","120.9243","130.5853","135.58664","131.12898","142.649584","145.004464","149.07912","NA"
"INTL.2-2-SLV-BKWH.A","        El Salvador","1.433","1.477","1.541","1.396","1.591","1.517","1.566","1.646","1.69","1.745","1.664","1.61","1.729","2.028","2.422","2.801","2.894","3.134","3.244","3.441","4.0621","3.9271","3.8031","4.0101","4.0047","4.4625","4.9101","5.2991","5.2671","5.2661","5.16958","5.3288","5.5583","5.87714","5.81652","6.186","6.119822","6.107","6.218","6.4432","NA"
"INTL.2-2-GNQ-BKWH.A","        Equatorial Guinea","0.01581","0.01395","0.01302","0.01116","0.01395","0.01581","0.01488","0.01581","0.01581","0.01581","0.01581","0.01581","0.01674","0.01674","0.01674","0.01767","0.01767","0.0186","0.01953","0.01953","0.07784","0.04376","0.09752","0.1098","0.15104","0.2407","0.29092","0.34496","0.40114","0.45048","0.50502","0.57228","0.79574","1.2565","1.43134","1.57265","1.53889","1.25334","1.36894","1.00296","NA"
