Report generated on: 02-25-2022 09:57:07
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-4-KHM-BKWH.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-CMR-BKWH.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-CAN-BKWH.A","        Canada","30.48","36.365","36.713","38.895","40.828","42.317","38.238","46.901","33.866","21.95","16.494107","19.81529","26.224179","29.364197","44.821858","40.596119","42.233376","43.008501","39.502108","42.911308","48.515476","38.401598","36.536479","29.324625","33.007487","43.528075","42.735776","50.330737","56.021682","51.781541","44.388476","51.516788","57.864641","62.246287","59.45562","72.952424","73.103171","72.039761","61.401035","60.348987","67.2"
"INTL.2-4-CYM-BKWH.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-CAF-BKWH.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-TCD-BKWH.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-CHL-BKWH.A","        Chile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.039","0","0","0"
"INTL.2-4-CHN-BKWH.A","        China","0","0","0","0","0.03","0.04","0.04","0.04","0.04","0.04","0.09","0.26","0.26","0.445","3.893","6.025","7.7","8.051","7.157","9.65","10.3","10.4","10.704","10.339","9.476","11.194","12.271","14.566","16.644","17.386","19.059","19.307","17.653","18.669","18.158","18.654","18.907","19.47","20.906","21.655","NA"
"INTL.2-4-COL-BKWH.A","        Colombia","0.019","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0.064","0.027","0.037","0.21","0.618","1.182","1.682","1.758","1.813","0.87669","1.473","1.077","0.798","1.543","0.715","1.377","0.849","0.46","0.045","0.009","0.016","0","0.251"
"INTL.2-4-COM-BKWH.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
