Report generated on: 02-25-2022 09:57:22
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-23-TCD-BKWH.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-CHL-BKWH.A","        Chile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.12","1.19","1.351","1.8","1.7","1.903","2.152","2.285","1.62766","1.154","1.348","0.958","0.732","0","0","0","0","-0.002","-0.039","0","0","0"
"INTL.2-23-CHN-BKWH.A","        China","0.308","0.237","0.33","0.43","0.77","1.07","1.17","1.26","1.47","1.51","1.84","2.85","4.72","4.055","-2.263","-5.27","-7.576","-7.962","-7.057","-9.284","-8.754","-8.6","-8.404","-7.364","-6.076","-6.183","-6.882","-10.315","-12.802","-11.38","-13.514","-12.745","-10.779","-11.231","-11.408","-12.444","-12.722","-13.047","-15.218","-16.797","NA"
"INTL.2-23-COL-BKWH.A","        Colombia","0.025","0.066","0.038","0.039","0.03","0.005","0.005","0","0","0.226","0.225","0.2","0.34","0.302","0.3","0.32","0.161","0.1","0.021","0.013","0.063","-0.17","-0.61","-1.107","-1.634","-1.742","-1.792","-0.83729","-1.396","-1.056","-0.788","-1.535","-0.7085","-1.348","-0.802","-0.415","0.333","0.069","0.106","0.312","1.051"
"INTL.2-23-COM-BKWH.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-COG-BKWH.A","        Congo-Brazzaville","0.007","0.019","0.026","0.057","0.08","0.084","0.129","0.148","0.149","0.061","0.014","0.075","0.108","0.11","0.112","0.115","0.12","0.12","0.126","0.2","0.26","0.25","0.4","0.359","0.404","0.418","0.411","0.449","0.436","0.44","0.281","0.027","0.025","0.037","-0.004","-0.02","-0.001","0","0.002","-0.021","NA"
"INTL.2-23-COD-BKWH.A","        Congo-Kinshasa","-0.097","-0.127","-0.097","-0.101","-0.128","-0.147","-0.184","-0.187","-0.109","-0.305","-0.057","-0.118","-1.228","-1.362","-1.022","-1.428","-1.186","-0.418","-0.349","-0.709","-1.226","-1.19","-1.314","-1.328","-1.394","-1.664","-1.309","-1.326","-0.591","-0.782","-0.755","-0.127","0.578","0.582","1.069","-0.402","-0.4","0.606","0.087","0.137","NA"
"INTL.2-23-COK-BKWH.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-CRI-BKWH.A","        Costa Rica","0","0","-0.107","-0.485","-0.441","-0.059","0.077","0.17","0.196","0.143","0.163","0.02","-0.048","0.019","-0.006","-0.131","0.131","-0.126","0.009","-0.127","-0.475","-0.249","-0.443","-0.173","-0.238","0.011","0.08889","0.16367","-0.07","0.017","0.029","-0.037","0.017","0.047","0.204","-0.106","0.15","-0.19","-0.240828","0.021","NA"
"INTL.2-23-HRV-BKWH.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","2.9","2.323","3.65","3.514","1.741","3.948","4.772","2.405","4","3.156","3.135","3.357","3.043","4.479","5.068","5.978","6.012","5.003","3.968","7.155","7.431","3.869","3.953","6.789","5.531","6.954","5.387","6.133","4.639"
"INTL.2-23-CUB-BKWH.A","        Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-CYP-BKWH.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-CZE-BKWH.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","-2.104","-0.355","0.436","-0.003","-1.188","-2.444","-3.28","-10.017","-9.539","-11.387","-16.213","-15.717","-12.634","-12.631","-16.153","-11.469","-13.644","-14.948","-17.044","-17.12","-16.887","-16.3","-12.515","-10.974","-13.037","-13.908","-13.096604","-10.153"
"INTL.2-23-CIV-BKWH.A","        Côte d’Ivoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.034","-0.396","-0.911","-0.593","-1.291","-1.238","-1.156","-1.565","-1.327","-1.409","-1.398","-1.065","-0.772","-0.599","-0.484","-0.346","-0.593","-0.591","-0.82","-0.877","-0.849","-1.21","-1.858","-1.054","-1.006","NA"
"INTL.2-23-DNK-BKWH.A","        Denmark","-1.232","5.536","2.028","4.207","4.884","0.46","0.082","2.414","4.209","9.459","6.848","-1.972","3.746","1.185","-4.82","-0.794","-15.399","-7.256","-4.32","-2.313","0.665","-0.575","-2.071","-8.545","-2.872","1.369","-6.935","-0.95","1.455","0.334","-1.135","1.32","5.214","1.082","2.855","5.912","5.057","4.563","5.225","5.811","6.197"
"INTL.2-23-DJI-BKWH.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-DMA-BKWH.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-DOM-BKWH.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-ECU-BKWH.A","        Ecuador","0.013","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.025","0.02","0.025","0.055","1.053","1.607","1.707","1.56877","0.82246","0.462","1.099","0.863","1.281","0.226","0.633","0.79","0.466","-0.32","-0.193","-0.149928","-1.82","NA"
"INTL.2-23-EGY-BKWH.A","        Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.154","-0.239","-0.731","-0.886","-0.699","-0.778","-0.349","-0.563","-0.896","-0.935","-1.443","-1.577","-0.397","-0.399","-0.679","-0.693","-0.268","-0.344","-0.271","-0.286","NA"
"INTL.2-23-SLV-BKWH.A","        El Salvador","0","0","0","0","0","0","0.088","0.008","0.014","0.004","0.002","0.005","0.052","0.079","0.091","-0.032","0.022","0.088","0.038","0.252","0.788","0.656","0.379","0.33","0.382","0.284","0.002","0.031","-0.006","0.129","0.085","0.114","0.085","0.192","0.381","0.899","0.988","1.585","1.759","1.292","NA"
"INTL.2-23-GNQ-BKWH.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-ERI-BKWH.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-EST-BKWH.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","-3.292","-1.375","-1.1","-0.76","-0.86","-0.944","-0.388","-0.604","-0.887","-0.791","-0.69","-1.896","-1.794","-1.608","-0.75","-2.42","-0.941","0.082","-3.254","-3.562","-2.24","-3.589","-2.754","-0.925","-2.037","-2.733","-1.897","2.157","3.645"
"INTL.2-23-SWZ-BKWH.A","        Eswatini","0","0","0","0","0","0","0.1","0.2","0.25","0.3","0.41","0.357","0.567","0.53","0.577","0.618","0.571","0.608","0.615","0.6","0.62","0.639","0.799","0.8","0.697","0.872","0.76","0.856","0.983","0.923","0.909","0.806","0.813","0.822","0.86","0.98","1.077","1.064","1.02","0.942","NA"
"INTL.2-23-ETH-BKWH.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.332","-0.563","-0.642","-0.761","-0.7","-1.303","-1.432","-1.47","-1","NA"
"INTL.2-23-FLK-BKWH.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-FRO-BKWH.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-FJI-BKWH.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-23-FIN-BKWH.A","        Finland","1.211","2.244","2.314","4.778","5.215","4.694","5.723","5.597","7.385","8.868","10.74","7.29","8.394","7.584","6.575","7.021","3.661","7.655","9.306","11.124","11.88","9.959","11.925","4.852","4.87","17.015","11.401","12.557","12.772","12.085","10.501","13.852","17.444","15.715","17.967","16.337","18.951","20.425","19.936","20.042","14.949"
"INTL.2-23-CSK-BKWH.A","        Former Czechoslovakia","1.68","2.1","1.81","2.37","2.74","3.539","1.455","3.425","3.047","2.834","4.537","3.337","-1.692","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-23-SCG-BKWH.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","1.15","-0.1","0","0","-0.156","0.028","-0.068","1.782","3.954","3.15","3.613","2.79","-0.273","-1.943","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-23-SUN-BKWH.A","        Former U.S.S.R.","-18.499","-20.508","-21.119","-22.905","-23.801","-28.799","-28.834","-33.867","-37.579","-36.902","-33.198","-19.336","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-23-YUG-BKWH.A","        Former Yugoslavia","-0.409","1.377","1.956","1.055","-1.13","0.627","0.466","0.375","-1.412","-0.408","-0.359","-4.425","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-23-FRA-BKWH.A","        France","3.245","-4.658","-3.669","-13.228","-24.569","-23.138","-25.227","-29.441","-36.709","-41.869","-45.438","-52.893","-54.078","-61.43","-63.125","-69.841","-68.811","-65.394","-57.562","-63.143","-69.479","-68.361","-77.034","-66.414","-61.906","-60.328","-63.341","-56.813","-47.988","-25.934","-30.713","-56.413","-44.521","-48.461","-67.19","-64.063","-41.501","-40.12882","-62.967","-57.667","-44.812"
"INTL.2-23-GUF-BKWH.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-PYF-BKWH.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-GAB-BKWH.A","        Gabon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.184","0.388","0.337","0.348","0.456","0.511","0.511","NA"
"INTL.2-23-GMB-BKWH.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-GEO-BKWH.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","0.969","0.711","0.95","0.77","0.274","0.188","-0.076","0.056","0.252","0.273","0.447","0.912","1.281","1.346","0.616","-0.198","-0.117","-0.485","-1.26","-0.453","0.087","0.034","0.249","0.039","-0.08","0.811","0.92","1.383","1.456"
"INTL.2-23-DEU-BKWH.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","-0.575","-5.488","0.87","2.37","4.824","-5.266","-2.341","-0.638","1.04","3.057","3.657","9.998","-3.272","-2.621","-4.566","-16.977","-16.555","-20.1","-12.273","-14.955","-3.765","-20.542","-32.193","-33.885","-48.282","-50.525","-52.459","-48.736","-32.667","-18.884"
"INTL.2-23-DDR-BKWH.A","        Germany, East","1.465","1.715","1.148","1.354","0.281","0.162","0.999","3.787","1.671","0.887","1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-23-DEUW-BKWH.A","        Germany, West","5.758","7.899","6.792","10.395","4.046","2.5","5.263","3.796","0.377","0.17","-1.098","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-23-GHA-BKWH.A","        Ghana","-0.44","-0.472","-0.521","-0.225","-0.25","-0.27","-0.275","-0.281","-0.282","-0.28","-0.191","-0.212","-0.282","-0.284","-0.31","-0.225","-0.283","-0.357","0.5","-0.022","0.208","0.148","0.434","0.341","0.213","0.176","-0.125","0.189","-0.263","-0.554","-0.93","-0.61","-0.539","-0.503","-0.471","-0.364","0.558","0.052","-0.6","-1.303","-1.743"
"INTL.2-23-GIB-BKWH.A","        Gibraltar","0","0","0","0","0","0","0","0","0","-0.001","-0.001","-0.001","-0.001","-0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-23-GRC-BKWH.A","        Greece","0.616","0.309","0.722","1.883","2.561","0.739","1.287","0.615","0.308","0.391","0.711","0.644","0.605","0.809","0.39","0.807","1.346","2.301","1.61","0.164","-0.011","2.5","2.896","2.093","2.82","3.78","4.202","4.355","5.613","4.368","5.706","3.232","1.785","1.887","8.819","9.608","8.796","6.237","6.278","9.943611","8.864"
"INTL.2-23-GRL-BKWH.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
