Report generated on: 02-24-2022 17:30:36
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.13-2-ARM-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0.3","0.1","0.03169","0.03169","0.03169","0.03178","0.03178","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0","0.03","0.4","0.3","0.2","0.2","0.2","0.2","NA","NA"
"INTL.6899-2-ARM-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0.3","0.1","0.03169","0.03169","0.03169","0.03178","0.03178","0.0317808219178082","0.0316939890710383","0.0317808219178082","0.0317808219178082","0.0317808219178082","0.0316939890710383","0","0.03","0.4","0.3","0.2","0.2","0.2","0.2","NA","NA"
"INTL.8499-2-ARM-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-ABW-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","0","0","0","0.2","0.04298","0.07386","0.07171","0.1","0.4","0.4","0.4","0.5","0.5","0.5","0.8","0.8","0.8","0.9","0.9","1","1","0.7","0.3","0.3","0.3","0.3","0.3","NA","NA"
"INTL.6899-2-ABW-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","0","0","0","0.2","0.04298","0.07386","0.07171","0.1","0.4","0.4","0.4","0.5","0.5","0.5","0.8","0.8","0.8","0.9","0.9","1","1","0.7","0.3","0.3","0.3","0.3","0.3","NA","NA"
"INTL.8499-2-ABW-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-AUS-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","17.0585824","18","19","20","23","30","35","40","43","45","59","60","68","75","80","85","85","93","95","93","94","92","89","88","84","97","86","84","79","77","76","72","67","66","NA"
"INTL.6899-2-AUS-TBPD.A","            LPG (Mb/d)","17.0585824","18","19","20","23","30","35","40","43","45","59","52","59","66","72","75","77","72","74","76","76","75","70","67","64","72","67","68","63","61","60","53","50","49","NA"
"INTL.8499-2-AUS-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","8","8.3","8.9","8.6","9.2","8.7","20","21","18","18","17","19","21","20","25","19","17","17","16","15","19","18","16","NA"
"","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-AUT-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","3.74677279","3.7","3.3","3.3","2.7","3.3","3.6","3.7","5.1","3.7","4.2","5.2","5.2","5.4","5.6","5.9","5","4.2","4.6","4.8","5.4","4.5","5.4","5.6","5.6","7","5.8","5.8","5.5","5.8","6","5.2","4.1","3.5","NA"
"INTL.6899-2-AUT-TBPD.A","            LPG (Mb/d)","3.74677279","3.7","3.3","3.3","2.7","3.3","3.6","3.7","5.1","3.7","4.2","5.2","5.2","5.4","5.6","5.9","5","4.2","4.6","4.8","5.4","4.5","5.4","5.6","5.6","7","5.8","5.8","5.5","5.8","6","5.2","4.1","3.5","NA"
"INTL.8499-2-AUT-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-AZE-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","13","13","16","9.8","13","5.9","1.7","4.7","2.8","3.2","3.7","8.9","5.5","5.5","4.9","4.5","3","2.9","3","4.6","4.2","NA","NA"
"INTL.6899-2-AZE-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","13","13","16","9.8","13","5.9","1.7","4.7","2.8","3.2","3.7","8.9","5.5","5.5","4.9","4.5","3","2.9","3","4.6","4.2","NA","NA"
"INTL.8499-2-AZE-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bahrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BHR-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.6","0.6","1","1.3","0.7","1.1","0.7","0.3","0.3","0.7","0.6","1.1","1.2","1.3","0.4","1.3","1","1.1","1","1","1.2","1.3","1.5","1.6","1.5","1.6","1.6","NA","NA"
"INTL.6899-2-BHR-TBPD.A","            LPG (Mb/d)","0.361185634","0.4","0.4","0.5","0.5","0.5","0.6","0.6","1","1.3","0.7","1.1","0.7","0.3","0.3","0.7","0.6","1.1","1.2","1.3","0.4","1.3","1","1.1","1","1","1.2","1.3","1.5","1.6","1.5","1.6","1.6","NA","NA"
"INTL.8499-2-BHR-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bangladesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BGD-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.4","0.6","0.5","0.3","0.5","0.7","0.7","1.3","0.7","0.7","0.3","0.4","1.3","1.3","0.5","0.5","0.4","NA","NA"
"INTL.6899-2-BGD-TBPD.A","            LPG (Mb/d)","0.090290045","0.090290045","0.2","0.1","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.4","0.6","0.5","0.3","0.5","0.7","0.7","1.3","0.7","0.7","0.3","0.4","1.3","1.3","0.5","0.5","0.4","NA","NA"
"INTL.8499-2-BGD-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BRB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.3","0.00216","0.2","0.2","0.2","0.3","0.3","0.3","0.2","1.9","0.3","0.4","0.4","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0","0.4","0.4","0.4","0.4","0.4","NA","NA"
"INTL.6899-2-BRB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.3","0.00216","0.2","0.2","0.2","0.3","0.3","0.3","0.2","1.9","0.3","0.4","0.4","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0","0.4","0.4","0.4","0.4","0.4","NA","NA"
"INTL.8499-2-BRB-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BLR-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","20","9.9","11","11","10","10","10","8.8","9.2","8.5","7.6","7.8","9.7","7.7","8.1","8.2","8.6","8","7.6","7.8","7.5","NA","NA"
"INTL.6899-2-BLR-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","20","9.9","11","11","10","10","10","8.8","9.2","8.5","7.6","7.8","9.7","7.7","8.1","8.2","8.6","8","7.6","7.8","7.5","NA","NA"
"INTL.8499-2-BLR-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BEL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","15.54320631","15","14","12","15","14","14","16","15","16","14","17","21","18","20","18","19","21","21","17","18","19","16","13","11","10","11","21","20","32","33","43","43","52","NA"
"INTL.6899-2-BEL-TBPD.A","            LPG (Mb/d)","15.54320631","15","14","12","15","14","14","16","15","16","14","17","21","18","20","18","19","21","21","17","18","19","16","13","11","10","11","21","20","32","33","43","43","52","NA"
"INTL.8499-2-BEL-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BLZ-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.00602","0.1","0.09099","0.09534","0.08","0.09534","0.09508","0.09534","0.09534","0.09534","0.1","0.3","0.3","0.3","0","0.4","0.5","0.5","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","NA","NA"
"INTL.6899-2-BLZ-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.00602","0.1","0.09099","0.09534","0.08","0.09534","0.09508","0.09534","0.09534","0.09534","0.1","0.3","0.3","0.3","0","0.4","0.5","0.5","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","NA","NA"
"INTL.8499-2-BLZ-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
