Report generated on: 02-24-2022 17:30:59
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.6899-4-AUS-TBPD.A","            LPG (Mb/d)","45.22646112","42","43","38","47","43","44","39","37","31","36","24","25","25","22","20","37","47","45","44","50","52","56","55","47","52","48","48","41","48","44","37","39","41","NA"
"INTL.8499-4-AUS-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-AUT-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","1.902651595","2.4","1.8","1.6","0.8","1.1","0.0953424657534246","0.1","0.0316939890710383","0.0317808219178082","0.4","0.2","0.0316939890710383","0","0.2","0.3","0.2","0.3","0.6","0.6","0.5","0.2","0.3","0.3","0.5","0.6","0.7","0.7","1.1","0.2","0.1","0.7","0.4","0.4","NA"
"INTL.6899-4-AUT-TBPD.A","            LPG (Mb/d)","1.902651595","2.4","1.8","1.6","0.8","1.1","0.0953424657534246","0.1","0.0316939890710383","0.0317808219178082","0.4","0.2","0.0316939890710383","0","0.2","0.3","0.2","0.3","0.6","0.6","0.5","0.2","0.3","0.3","0.5","0.6","0.7","0.7","1.1","0.2","0.1","0.7","0.4","0.4","NA"
"INTL.8499-4-AUT-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-AZE-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0.4","0","0","0.1","0.3","0.3","0.5","0.5","1.5","1.5","3.1","3.5","5","3.5","2.9","NA","NA"
